*******************************************************************************
Ephemeris / WWW_USER Sun Sep 10 19:17:07 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: New Horizons (spacecraft) (-98) {source: NH_merged}
Center body name: Pluto (999)                     {source: NH_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jul-14 09:00:00.0000 TDB
Stop  time      : A.D. 2015-Jul-14 20:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457217.875000000, A.D. 2015-Jul-14 09:00:00.0000,  1.060653181196404E+04,  1.378127389763252E+05, -2.780937120705514E+04,  1.583361464950306E-01, -1.360932645396807E+01,  2.129704790984981E+00,  4.702923794213698E-01,  1.409901084054011E+05, -1.371078389701705E+01,
2457217.875694444, A.D. 2015-Jul-14 09:01:00.0000,  1.061603233794061E+04,  1.369961796109727E+05, -2.768158905044806E+04,  1.583480520948804E-01, -1.360931906413149E+01,  2.129700428845184E+00,  4.675484018140324E-01,  1.401674846138004E+05, -1.371000691221475E+01,
2457217.876388889, A.D. 2015-Jul-14 09:02:00.0000,  1.062553357813885E+04,  1.361796206878618E+05, -2.755380715564089E+04,  1.583599538659825E-01, -1.360931171267659E+01,  2.129696064346167E+00,  4.648045810692290E-01,  1.393449078484044E+05, -1.370921630364358E+01,
2457217.877083333, A.D. 2015-Jul-14 09:03:00.0000,  1.063503553232572E+04,  1.353630622046724E+05, -2.742602552277076E+04,  1.583718516971106E-01, -1.360930440017980E+01,  2.129691697635764E+00,  4.620609199458683E-01,  1.385223789363131E+05, -1.370841174725839E+01,
2457217.877777778, A.D. 2015-Jul-14 09:04:00.0000,  1.064453820026142E+04,  1.345465041590493E+05, -2.729824415196581E+04,  1.583837454739011E-01, -1.360929712723086E+01,  2.129687328865550E+00,  4.593174212686739E-01,  1.376998987243572E+05, -1.370759290935156E+01,
2457217.878472222, A.D. 2015-Jul-14 09:05:00.0000,  1.065404158169916E+04,  1.337299465486017E+05, -2.717046304334498E+04,  1.583956350787416E-01, -1.360928989443313E+01,  2.129682958190949E+00,  4.565740879301531E-01,  1.368774680796887E+05, -1.370675944620610E+01,
2457217.879166667, A.D. 2015-Jul-14 09:06:00.0000,  1.066354567638501E+04,  1.329133893709019E+05, -2.704268219701778E+04,  1.584075203906542E-01, -1.360928270240406E+01,  2.129678585771360E+00,  4.538309228926359E-01,  1.360550878903918E+05, -1.370591100373425E+01,
2457217.879861111, A.D. 2015-Jul-14 09:07:00.0000,  1.067305048405769E+04,  1.320968326234852E+05, -2.691490161308405E+04,  1.584194012851742E-01, -1.360927555177552E+01,  2.129674211770291E+00,  4.510879291903881E-01,  1.352327590661164E+05, -1.370504721710070E+01,
