*******************************************************************************
Ephemeris / WWW_USER Sun Sep 10 19:16:06 2017 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE431mx}
Center body name: Pluto (999)                     {source: plu055l_merged}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jul-14 09:00:00.0000 TDB
Stop  time      : A.D. 2015-Jul-14 20:00:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Ecliptic and Mean Equinox of Reference Epoch                 
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457217.875000000, A.D. 2015-Jul-14 09:00:00.0000, -1.197150928715217E+09,  4.772420312047369E+09, -1.642603273594308E+08, -5.378238774600748E+00, -1.868584115290148E-01,  1.599984749416418E+00,  1.642143440851372E+04,  4.923022185214103E+09,  1.073320908926284E+00,
2457217.875694444, A.D. 2015-Jul-14 09:01:00.0000, -1.197151251409177E+09,  4.772420300836159E+09, -1.642602313604934E+08, -5.378226538597109E+00, -1.868485792884088E-01,  1.599979819889148E+00,  1.642143462332722E+04,  4.923022249613570E+09,  1.073327999501289E+00,
2457217.876388889, A.D. 2015-Jul-14 09:02:00.0000, -1.197151574102402E+09,  4.772420289625539E+09, -1.642601353618522E+08, -5.378214302003347E+00, -1.868387525704313E-01,  1.599974880482594E+00,  1.642143483814213E+04,  4.923022314013462E+09,  1.073335084905695E+00,
2457217.877083333, A.D. 2015-Jul-14 09:03:00.0000, -1.197151896794893E+09,  4.772420278415509E+09, -1.642600393635077E+08, -5.378202064825131E+00, -1.868289313798113E-01,  1.599969931199064E+00,  1.642143505295847E+04,  4.923022378413780E+09,  1.073342165136222E+00,
2457217.877777778, A.D. 2015-Jul-14 09:04:00.0000, -1.197152219486650E+09,  4.772420267206068E+09, -1.642599433654609E+08, -5.378189827068138E+00, -1.868191157212764E-01,  1.599964972040869E+00,  1.642143526777623E+04,  4.923022442814523E+09,  1.073349240189587E+00,
2457217.878472222, A.D. 2015-Jul-14 09:05:00.0000, -1.197152542177672E+09,  4.772420255997214E+09, -1.642598473677108E+08, -5.378177588738041E+00, -1.868093055995511E-01,  1.599960003010327E+00,  1.642143548259539E+04,  4.923022507215688E+09,  1.073356310062514E+00,
2457217.879166667, A.D. 2015-Jul-14 09:06:00.0000, -1.197152864867960E+09,  4.772420244788951E+09, -1.642597513702607E+08, -5.378165349840510E+00, -1.867995010193574E-01,  1.599955024109758E+00,  1.642143569741597E+04,  4.923022571617280E+09,  1.073363374751725E+00,
2457217.879861111, A.D. 2015-Jul-14 09:07:00.0000, -1.197153187557514E+09,  4.772420233581275E+09, -1.642596553731086E+08, -5.378153110381223E+00, -1.867897019854149E-01,  1.599950035341487E+00,  1.642143591223798E+04,  4.923022636019294E+09,  1.073370434253948E+00,
